auction_no_valid_bids,auction_successes,auction_timeouts,average_communication_latency_steps,benchmark,bids_expected,bids_received,conflicting_maneuver_intents,conjunctions_detected,coordination_attempts,cycles_completed,decision_deadline_misses,decision_to_execution_time_steps,decisions_completed_before_deadline,delta_v_per_resolved_conjunction,detection_to_decision_time_steps,duplicate_maneuver_proposals,estimated_fuel_used,execution_failures,experiment,experiment.seed,fallback_activations,maneuver_burden_gini,maneuver_count,maneuvers_executed,maneuvers_failed,maneuvers_proposed,maneuvers_rejected,messages_delayed_beyond_usefulness,messages_delivered,messages_dropped,messages_sent,minimum_post_maneuver_separation_km,minimum_pre_maneuver_separation_km,mission_disruption_cost,modeled_maneuver_cost,network.latency_steps,network.packet_loss_rate,original_conjunctions,outcome,peak_concurrent_open_risks,per_agent_maneuver_burden,per_agent_resource_consumption,planned_maneuvers,primary_risks_created,proposals_accepted,proposals_rejected,protocol,protocol.name,remaining_fuel_by_agent,resolution_probability,resolved_conjunctions,resource_exhaustion_events,risk_resolution_time_steps,risks_closed,risks_created,risks_expired,risks_resolved,risks_unresolved,run_id,runtime_seconds,safety_validation_failures,scenario,secondary_conjunctions_created,secondary_risks_created,seed,status,successful_agreements,timeouts,total_delta_v_used_km_per_step,total_simulated_resolution_time_steps,unresolved_conjunctions,unresolved_high_risk_conjunctions,worsened_conjunctions
2,1,0,1.0,spacecraft-campaign-v1,10,6,0,5,0,18,0,[],1,,[],0,80.0,0,auction-network-faults-smoke,1,0,0.75,1,1,0,3,2,0,27,0,27,,,0.0,80.0,1,0.0,1,resolved,3,"{'SAT-A': 1, 'SAT-B': 0, 'SAT-C': 0, 'SAT-D': 0}","{'SAT-A': 80.0, 'SAT-B': 0.0, 'SAT-C': 0.0, 'SAT-D': 0.0}",3,4,1,2,auction,auction,"{'SAT-A': 80.0, 'SAT-B': 160.0, 'SAT-C': 160.0, 'SAT-D': 160.0}",0.2,1,0,[6],4,5,0,1,0,auction-network-faults-smoke-auction-s1-129a90503e,0.007706790929660201,2,auction-network-faults-smoke,1,1,1,resumed,1,0,80.0,18,0,0,0
0,0,0,1.0,spacecraft-campaign-v1,0,0,0,5,0,18,0,[],1,,[],0,80.0,0,auction-network-faults-smoke,1,0,0.75,1,1,0,2,1,0,5,3,8,,,0.0,80.0,1,0.3,1,resolved,3,"{'SAT-A': 1, 'SAT-B': 0, 'SAT-C': 0, 'SAT-D': 0}","{'SAT-A': 80.0, 'SAT-B': 0.0, 'SAT-C': 0.0, 'SAT-D': 0.0}",2,4,1,1,centralized,centralized,"{'SAT-A': 80.0, 'SAT-B': 160.0, 'SAT-C': 160.0, 'SAT-D': 160.0}",0.2,1,0,[3],4,5,0,1,0,auction-network-faults-smoke-centralized-s1-77d8d36678,0.0035873327869921923,1,auction-network-faults-smoke,1,1,1,resumed,1,0,80.0,18,0,0,0
0,0,0,1.0,spacecraft-campaign-v1,0,0,0,4,0,18,0,[],2,,[],0,160.0,0,auction-network-faults-smoke,1,0,0.5,2,2,0,5,3,0,5,3,8,,,0.0,160.0,1,0.3,1,resolved,3,"{'SAT-A': 1, 'SAT-B': 1, 'SAT-C': 0, 'SAT-D': 0}","{'SAT-A': 80.0, 'SAT-B': 80.0, 'SAT-C': 0.0, 'SAT-D': 0.0}",5,4,2,3,greedy,greedy,"{'SAT-A': 80.0, 'SAT-B': 80.0, 'SAT-C': 160.0, 'SAT-D': 160.0}",0.5,2,0,"[2, 2]",2,4,0,2,0,auction-network-faults-smoke-greedy-s1-6a6b63d74b,0.004479625029489398,3,auction-network-faults-smoke,0,0,1,resumed,2,0,160.0,18,0,0,0
0,0,1,1.0,spacecraft-campaign-v1,2,2,0,6,0,18,1,[],0,,[],0,0.0,0,auction-network-faults-smoke,1,0,0.0,0,0,0,0,0,0,5,6,11,,,0.0,0.0,1,0.3,1,unresolved,5,"{'SAT-A': 0, 'SAT-B': 0, 'SAT-C': 0, 'SAT-D': 0}","{'SAT-A': 0.0, 'SAT-B': 0.0, 'SAT-C': 0.0, 'SAT-D': 0.0}",0,6,0,0,auction,auction,"{'SAT-A': 160.0, 'SAT-B': 160.0, 'SAT-C': 160.0, 'SAT-D': 160.0}",0.0,0,0,[],5,6,1,0,1,auction-network-faults-smoke-auction-s1-c8eeaf01cb,0.0031326250173151493,0,auction-network-faults-smoke,0,0,1,resumed,0,1,0.0,18,1,1,0
0,0,0,0.0,spacecraft-campaign-v1,0,0,0,4,0,18,0,[],4,,[],0,320.0,0,auction-network-faults-smoke,2,0,0.375,4,4,0,4,0,0,8,0,8,,,0.0,320.0,0,0.0,1,resolved,1,"{'SAT-A': 2, 'SAT-B': 0, 'SAT-C': 1, 'SAT-D': 1}","{'SAT-A': 160.0, 'SAT-B': 0.0, 'SAT-C': 80.0, 'SAT-D': 80.0}",4,3,4,0,centralized,centralized,"{'SAT-A': 0.0, 'SAT-B': 160.0, 'SAT-C': 80.0, 'SAT-D': 80.0}",1.0,4,0,"[1, 1, 1, 1]",0,4,0,4,0,auction-network-faults-smoke-centralized-s2-7733fc89fc,0.005144957918673754,0,auction-network-faults-smoke,1,1,2,resumed,4,0,320.0,18,0,0,0
0,0,0,0.0,spacecraft-campaign-v1,0,0,0,4,0,18,0,[],4,,[],0,320.0,0,auction-network-faults-smoke,2,0,0.375,4,4,0,8,4,0,8,0,8,,,0.0,320.0,0,0.0,1,resolved,1,"{'SAT-A': 2, 'SAT-B': 1, 'SAT-C': 1, 'SAT-D': 0}","{'SAT-A': 160.0, 'SAT-B': 80.0, 'SAT-C': 80.0, 'SAT-D': 0.0}",8,3,4,4,greedy,greedy,"{'SAT-A': 0.0, 'SAT-B': 80.0, 'SAT-C': 80.0, 'SAT-D': 160.0}",1.0,4,0,"[1, 1, 1, 1]",0,4,0,4,0,auction-network-faults-smoke-greedy-s2-14ae7d2204,0.00631904206238687,4,auction-network-faults-smoke,1,1,2,resumed,4,0,320.0,18,0,0,0
2,1,0,0.0,spacecraft-campaign-v1,10,6,0,5,0,18,0,[],1,,[],0,80.0,0,auction-network-faults-smoke,2,0,0.75,1,1,0,3,2,0,27,0,27,,,0.0,80.0,0,0.0,1,resolved,3,"{'SAT-A': 1, 'SAT-B': 0, 'SAT-C': 0, 'SAT-D': 0}","{'SAT-A': 80.0, 'SAT-B': 0.0, 'SAT-C': 0.0, 'SAT-D': 0.0}",3,4,1,2,auction,auction,"{'SAT-A': 80.0, 'SAT-B': 160.0, 'SAT-C': 160.0, 'SAT-D': 160.0}",0.2,1,0,[6],4,5,0,1,0,auction-network-faults-smoke-auction-s2-50ab4c8788,0.008029625052586198,2,auction-network-faults-smoke,1,1,2,resumed,1,0,80.0,18,0,0,0
0,0,0,0.0,spacecraft-campaign-v1,0,0,0,6,0,18,1,[],1,,[],0,80.0,0,auction-network-faults-smoke,2,0,0.75,1,1,0,1,0,0,2,5,7,,,0.0,80.0,0,0.3,1,unresolved,5,"{'SAT-A': 1, 'SAT-B': 0, 'SAT-C': 0, 'SAT-D': 0}","{'SAT-A': 80.0, 'SAT-B': 0.0, 'SAT-C': 0.0, 'SAT-D': 0.0}",1,6,1,0,centralized,centralized,"{'SAT-A': 80.0, 'SAT-B': 160.0, 'SAT-C': 160.0, 'SAT-D': 160.0}",0.16666666666666666,1,0,[1],4,6,1,1,1,auction-network-faults-smoke-centralized-s2-8ae116256a,0.002689959015697241,0,auction-network-faults-smoke,0,0,2,resumed,1,1,80.0,18,1,1,0
0,0,0,0.0,spacecraft-campaign-v1,0,0,0,6,0,18,1,[],3,,[],0,240.0,0,auction-network-faults-smoke,2,0,0.5833333333333334,3,3,0,5,2,0,5,7,12,,,0.0,240.0,0,0.3,1,unresolved,3,"{'SAT-A': 0, 'SAT-B': 2, 'SAT-C': 0, 'SAT-D': 1}","{'SAT-A': 0.0, 'SAT-B': 160.0, 'SAT-C': 0.0, 'SAT-D': 80.0}",5,5,3,2,greedy,greedy,"{'SAT-A': 160.0, 'SAT-B': 0.0, 'SAT-C': 160.0, 'SAT-D': 80.0}",0.5,3,0,"[1, 1, 1]",2,6,1,3,1,auction-network-faults-smoke-greedy-s2-148ee773e7,0.00438766716979444,2,auction-network-faults-smoke,1,1,2,resumed,3,1,240.0,18,1,1,0
1,0,0,0.0,spacecraft-campaign-v1,4,1,0,6,0,18,1,[],0,,[],0,0.0,0,auction-network-faults-smoke,2,0,0.0,0,0,0,1,1,0,7,8,15,,,0.0,0.0,0,0.3,1,unresolved,5,"{'SAT-A': 0, 'SAT-B': 0, 'SAT-C': 0, 'SAT-D': 0}","{'SAT-A': 0.0, 'SAT-B': 0.0, 'SAT-C': 0.0, 'SAT-D': 0.0}",1,6,0,1,auction,auction,"{'SAT-A': 160.0, 'SAT-B': 160.0, 'SAT-C': 160.0, 'SAT-D': 160.0}",0.0,0,0,[],5,6,1,0,1,auction-network-faults-smoke-auction-s2-bac6694125,0.003693541046231985,1,auction-network-faults-smoke,0,0,2,resumed,0,1,0.0,18,1,1,0
